ticker,company_name,delivery_upside_score,execution_downside_score,leadership_risk_score,positive_marker_evidence_score,negative_marker_evidence_score,execution_balance_score,execution_outlook,evidence_coverage,evidence_coverage_score,approved_asset_count,late_stage_asset_count,active_company_marker_ids,current_feature_tags,closest_marker_id,closest_marker_company,closest_marker_polarity,marker_similarity,marker_outcome_class,marker_outcome_date,interpretation
CAPR,Capricor Therapeutics Inc. Common Stock,1.5,66.12,28.8,0.0,58.0,-64.62,downside_led,company_specific_evidence,73.0,0,0,"[""capr-2026-regulatory-statistical-governance""]","[""blinding_or_independence"", ""endpoint_or_sap_change"", ""functional_unblinding"", ""inspection_pending"", ""measurement_or_adjudication"", ""missed_prespecified_endpoint"", ""missing_data_or_exclusions"", ""regulatory_effectiveness"", ""regulatory_failure"", ""statistical_governance""]",capr-2026-regulatory-statistical-governance,"Capricor Therapeutics, Inc.",downside,40.0,pending,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,39.43,65.0,0.0,0.0,65.0,-25.57,downside_led,company_specific_evidence,86.8,0,2,"[""amlx-2024-confirmatory-failure-withdrawal""]","[""confirmatory_failure"", ""late_stage_delivery"", ""missed_prespecified_endpoint"", ""product_withdrawal""]",amlx-2024-confirmatory-failure-withdrawal,"Amylyx Pharmaceuticals, Inc.",downside,75.0,withdrawal_and_restructuring,2024-04-04,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
ABBV,AbbVie Inc. Common Stock,100.0,0.0,0.0,0.0,0.0,100.0,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,51,92,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,100.0,0.0,0.0,0.0,0.0,100.0,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,118,120,[],"[""late_stage_delivery"", ""regulatory_approval""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
ANIP,ANI Pharmaceuticals Inc.,100.0,0.0,0.0,0.0,0.0,100.0,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,54,54,[],"[""late_stage_delivery"", ""regulatory_approval""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
PFE,Pfizer Inc. Common Stock,100.0,0.0,0.0,0.0,0.0,100.0,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,62,117,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
GILD,Gilead Sciences Inc. Common Stock,99.03,0.0,0.0,0.0,0.0,99.03,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,21,70,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
BMY,Bristol-Myers Squibb Company Common Stock,99.02,0.0,0.0,0.0,0.0,99.02,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,27,49,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
LLY,Eli Lilly and Company Common Stock,98.04,0.0,0.0,0.0,0.0,98.04,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,23,45,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
AMGN,Amgen Inc. Common Stock,96.69,0.0,0.0,0.0,0.0,96.69,upside_proxy_risk_unscreened,market_only_risk_unscreened,59.2,22,47,[],"[""late_stage_delivery"", ""regulatory_approval"", ""strong_asset_portfolio""]",,,,0.0,,,"Delivery upside is an asset-progress proxy, not proof of management quality. Downside uses sourced company evidence. A missing risk signal means unscreened, not low risk. Historical outcomes are validation labels and are not score features."
