pmid,publication_title,publication_types,publication_date,journal,evidence_status,category,matched_asset_id,matched_asset_name,owner_name,owner_ticker,owner_match_confidence,nct_id,match_method,match_confidence,source_url,interpretation
36424542,Different azithromycin protocols for management of preterm prelabour rupture of membranes: a randomized clinical trial.,"[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2022 Nov 23,BMC pregnancy and childbirth,publication_retraction,publication_retraction,clinicaltrials:NCT04202380,Azithromycin / Ampicillin,Assiut University,,0.0,NCT04202380,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/36424542/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
40334373,Oral versus intravenous antibiotic prophylaxis before obstetric and gynecological surgical interventions: A randomized clinical trial.,"[""Comparative Study"", ""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2025 Jul,"European journal of obstetrics, gynecology, and reproductive biology",publication_retraction,publication_retraction,clinicaltrials:NCT06255652,Cephradin,Sohag University,,0.0,NCT06255652,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/40334373/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
40325365,The value of subcutaneous tissue closure and drain in obese women undergo elective caesarean section: a randomized controlled trial.,"[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2025 May 05,BMC pregnancy and childbirth,publication_retraction,publication_retraction,clinicaltrials:NCT04177381,Cesarean section / subcutanous sutures / subcutanous drain,Cairo University,,0.0,NCT04177381,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/40325365/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
35940183,"Atezolizumab, vemurafenib, and cobimetinib in patients with melanoma with CNS metastases (TRICOTEL): a multicentre, open-label, single-arm, phase 2 study.","[""Clinical Trial, Phase II"", ""Journal Article"", ""Multicenter Study"", ""Research Support, Non-U.S. Gov't"", ""Retracted Publication""]",2022 Sep,The Lancet. Oncology,publication_retraction,publication_retraction,clinicaltrials:NCT03625141,Cobimetinib / Atezolizumab / Vemurafenib,Hoffmann-La Roche,,0.0,NCT03625141,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/35940183/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
38061378,Endoscopic ultrasonography-guided gastroenterostomy versus uncovered duodenal metal stenting for unresectable malignant gastric outlet obstruction (DRA-GOO): a multicentre randomised controlled trial.,"[""Journal Article"", ""Multicenter Study"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2024 Feb,The lancet. Gastroenterology & hepatology,publication_retraction,publication_retraction,clinicaltrials:NCT03823690,EUS-guided gastrojejunstomy / The pyloro-duodenal stent,Chinese University of Hong Kong,,0.0,NCT03823690,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/38061378/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
37083664,Efficacy and Safety of Esketamine for Supplemental Analgesia During Elective Cesarean Delivery: A Randomized Clinical Trial.,"[""Journal Article"", ""Multicenter Study"", ""Randomized Controlled Trial"", ""Research Support, Non-U.S. Gov't"", ""Retracted Publication""]",2023 Apr 03,JAMA network open,publication_retraction,publication_retraction,clinicaltrials:NCT04548973,Esketamine / Normal saline,Women's Hospital School Of Medicine Zhejiang University,,0.0,NCT04548973,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/37083664/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
39329272,Rapid and random-start endometrial preparation before outpatient hysteroscopic polypectomy in patients of perimenopausal age.,"[""Journal Article"", ""Multicenter Study"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2024 Dec,Climacteric : the journal of the International Menopause Society,publication_retraction,publication_retraction,clinicaltrials:NCT06316206,Ethinylestradiol/Dienogest 0.03mg/2mg,University of Palermo,,0.0,NCT06316206,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/39329272/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
39969990,Retracted: Evaluating the Clinical Efficacy of an Exergame-Based Training Program for Enhancing Physical and Cognitive Functions in Older Adults With Mild Cognitive Impairment and Dementia Residing in Rural Long-Term Care Facilities: Randomized Controlled Trial.,"[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2025 Feb 19,Journal of medical Internet research,publication_retraction,publication_retraction,clinicaltrials:NCT06717971,Exergame-based multicomponent training program. / Standard care,Aoyu Li,,0.0,NCT06717971,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/39969990/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
36098967,Effect of In-Person vs Video Training and Access to All Functions vs a Limited Subset of Functions on Portal Use Among Inpatients: A Randomized Clinical Trial.,"[""Journal Article"", ""Randomized Controlled Trial"", ""Research Support, U.S. Gov't, P.H.S."", ""Retracted Publication""]",2022 Sep 01,JAMA network open,publication_retraction,publication_retraction,clinicaltrials:NCT02943109,High Touch / Low Touch / High Tech / Low Tech,Ohio State University,,0.0,NCT02943109,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/36098967/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
41461240,"The effects of Omega-3 supplementation on stress, anxiety, depression, sleep quality, and everyday memory in individuals with psychological distress: A randomized, double-blind, placebo-controlled trial.","[""Journal Article"", ""Randomized Controlled Trial"", ""Retracted Publication""]",2026 Apr 15,Journal of affective disorders,publication_retraction,publication_retraction,clinicaltrials:NCT07157241,Intervention / Control group (placebo),Umm Al-Qura University,,0.0,NCT07157241,nct_id,1.0,https://pubmed.ncbi.nlm.nih.gov/41461240/,Discovery candidate for human review. A retraction or expression of concern does not by itself establish sponsor misconduct or fraud.
